STATE NAME,CYBER CRIME (2014),CYBER CRIME (2015),CYBER CRIME (2016),CYBER CRIME (PER SHARE),CYBER CRIME (RATE)
ANDHRA PRADESH,282,536,616,5,1.2
ARUNACHAL PRADESH,18,6,4,0,0.3
ASSAM,379,483,696,5.7,2.1
BIHAR,114,242,309,2.5,0.3
CHHATTISGARH,123,103,90,0.7,0.3
GOA,62,17,31,0.3,1.6
GUJARAT,227,242,362,2.9,0.6
HARYANA,151,224,401,3.3,1.5
HIMACHAL PRADESH,38,50,31,0.3,0.4
JAMMU & KASHMIR,37,34,28,0.2,0.2
JHARKHAND,93,180,259,2.1,0.8
KARNATAKA,1020,1447,1101,8.9,1.8
KERALA,450,290,283,2.3,0.8
MADHYA PRADESH,289,231,258,2.1,0.3
MAHARASHTRA,1879,2195,2380,19.3,2
MANIPUR,13,6,11,0.1,0.4
MEGHALAYA,60,56,39,0.3,1.4
MIZORAM,22,8,1,0,0.1
NAGALAND,0,0,2,0,0.1
ODISHA,124,386,317,2.6,0.7
PUNJAB,226,149,102,0.8,0.3
RAJASTHAN,697,949,941,7.6,1.3
SIKKIM,4,1,1,0,0.2
TAMIL NADU,172,142,144,1.2,0.2
TELANGANA,703,687,593,4.8,1.6
TRIPURA,5,13,8,0.1,0.2
UTTAR PRADESH,1737,2208,2639,21.4,1.2
UTTARAKHAND,42,48,62,0.5,0.6
WEST BENGAL,355,398,478,3.9,0.5
ANDAMAN & NICOBAR ISLANDS,13,6,3,0,0.5
CHANDIGARH,55,77,26,0.2,1.4
DADRA & NAGAR HAVELI,3,0,1,0,0.2
DAMAN & DIU,1,1,0,0,0
NCT OF DELHI,226,177,98,0.8,0.5
LAKSHADWEEP,1,0,0,0,0
PUDUCHERRY,1,0,2,0,0.1
