@relation kidnapping-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute srno {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36}
@attribute 'STATE NAME' {'ANDHRA PRADESH','ARUNACHAL PRADESH',ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,'HIMACHAL PRADESH','JAMMU & KASHMIR',JHARKHAND,KARNATAKA,KERALA,'MADHYA PRADESH',MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,'TAMIL NADU',TELANGANA,TRIPURA,'UTTAR PRADESH',UTTARAKHAND,'WEST BENGAL','ANDAMAN & NICOBAR ISLANDS',CHANDIGARH,'DADRA & NAGAR HAVELI','DAMAN & DIU','NCT OF DELHI',LAKSHADWEEP,PUDUCHERRY}
@attribute 'KIDNAPPED & ABDUCTED (MALE)' {0,5,6,7,10,11,37,38,57,60,107,126,130,138,171,312,570,615,628,729,780,812,895,977,1083,1335,1847,2326,2513,3230,3643,3820,4649,4815,6404}
@attribute 'KIDNAPPED & ABDUCTED (FEMALE)' {0,11,12,13,20,27,48,64,87,93,109,170,222,260,359,591,784,909,1483,1502,1697,1730,2253,2955,3151,3447,4058,4744,6473,7919,8606,8749,9163,11294,16311,16509}
@attribute 'KIDNAPPED & ABDUCTED (TOTAL)' {0,16,19,23,34,58,144,146,153,190,208,360,367,530,1161,1513,1632,1689,2042,2111,2312,3230,4038,4259,4486,4953,7257,8320,10245,12806,13255,15153,16109,19541,20329}
@attribute 'KIDNAPPED PERSON RECOVERED ALIVE (MALE)' {0,2,4,5,18,27,30,40,44,46,60,68,73,79,83,88,216,302,397,490,506,548,561,596,652,675,749,1131,1420,2262,2388,2590,2613}
@attribute 'KIDNAPPED PERSON RECOVERED ALIVE (FEMALE)' {0,1,4,6,8,21,41,48,68,77,132,149,189,203,210,248,385,588,834,944,957,1041,1437,1576,2066,2261,2302,2323,2442,3286,4327,4707,4826,12707}
@attribute 'KIDNAPPED PERSON RECOVERED ALIVE (TOTAL)' {0,3,8,26,71,95,112,121,123,176,200,249,282,298,331,891,984,1149,1231,1259,1589,1653,2325,2556,2898,2936,3094,3454,5876,6246,6589,7095,15320}
@attribute 'KIDNAPPED PERSON RECOVERED DEAD (MALE)' {0,1,2,4,5,10,11,15,16,28,37}
@attribute 'KIDNAPPED PERSON RECOVERED DEAD (FEMALE)' {0,1,2,3,13,27,76}
@attribute 'KIDNAPPED PERSON RECOVERED DEAD (TOTAL)' {0,1,2,3,5,6,8,10,11,12,17,28,64,104}
@attribute 'KIDNAPPED PERSON RECOVERED (MALE)' {0,2,4,5,18,27,28,30,41,46,47,60,68,77,79,83,93,216,304,397,517,518,559,562,596,653,685,754,1136,1431,2299,2403,2606,2628}
@attribute 'KIDNAPPED PERSON RECOVERED (FEMALE)' {0,1,4,6,8,22,41,49,68,78,132,149,189,203,211,248,385,589,834,945,957,1042,1438,1576,2142,2261,2302,2326,2444,3287,4354,4720,4826,12720}
@attribute 'KIDNAPPED PERSON RECOVERED (TOTAL)' {0,3,8,26,27,71,95,114,125,126,177,200,249,282,304,331,902,986,1151,1231,1261,1601,1654,2330,2660,2898,2946,3097,3462,5893,6257,6653,7123,15348}
@attribute 'KIDNAPPED PERSON RECOVERY PER (MALE)' {0,1.9,6.4,13.2,18.2,18.8,28,28.1,31.5,33.3,40.7,45.2,47.4,49.3,49.5,49.9,52.6,54.4,56.5,57.2,61.1,61.5,64.6,66.3,66.6,68.8,69.2,71.4,73,73.7,73.8,76.7,80,80.4,98.6}
@attribute 'KIDNAPPED PERSON RECOVERY PER (FEMALE)' {0,1.2,8.3,9.9,16.7,24.7,32.4,33.1,36.4,37.6,40,41.8,42.4,46.2,47.1,49,49.1,50,50.6,56.7,58.8,59.5,60.9,62.4,62.9,70.9,73.1,76.6,77,78.1,81.5,83.1,87.6,99.7}
@attribute 'KIDNAPPED PERSON RECOVERY PER (TOTAL)' {0,1.3,8.3,13,15.7,23,31.2,32,38.9,42.1,44.2,44.8,47.7,49.3,49.6,50,50.2,51.9,53.2,53.4,55.6,57.4,58.5,60.4,61.1,65.1,66.3,72.7,74.5,75.5,76.8,79.4,81,85.1,99.1}
@attribute 'KIDNAPPED PERSON UNRECOVERED (MALE)' {0,1,2,4,8,9,10,14,20,27,28,49,70,78,89,96,159,218,263,299,418,545,581,682,779,895,1192,1329,1377,2350,2412,2958,3170,3798}
@attribute 'KIDNAPPED PERSON UNRECOVERED (FEMALE)' {0,2,5,7,11,12,15,21,25,41,46,48,57,90,148,292,524,557,706,863,1003,1211,1235,1575,1756,1998,2418,3093,3789,4252,4331,5462,6574,6902,16122}
@attribute 'KIDNAPPED PERSON UNRECOVERED (TOTAL)' {0,7,8,10,11,20,31,32,39,51,58,64,73,85,160,226,388,646,787,1081,1162,1388,1629,1780,2055,2156,2777,3795,3988,4981,5660,6602,8986,9260,9860,19292}

@data
0,'ANDHRA PRADESH',628,1483,2111,83,248,331,0,0,0,83,248,331,13.2,16.7,15.7,545,1235,1780
1,'ARUNACHAL PRADESH',37,109,146,27,68,95,0,0,0,27,68,95,73,62.4,65.1,10,41,51
2,ASSAM,3230,16311,19541,60,189,249,0,0,0,60,189,249,1.9,1.2,1.3,3170,16122,19292
3,BIHAR,3643,9163,12806,675,2261,2936,10,0,10,685,2261,2946,18.8,24.7,23,2958,6902,9860
4,CHHATTISGARH,977,2253,3230,548,1041,1589,11,1,12,559,1042,1601,57.2,46.2,49.6,418,1211,1629
5,GOA,60,93,153,44,68,112,2,0,2,46,68,114,76.7,73.1,74.5,14,25,39
6,GUJARAT,812,3447,4259,652,2442,3094,1,2,3,653,2444,3097,80.4,70.9,72.7,159,1003,1162
7,HARYANA,2513,4744,7257,1131,2323,3454,5,3,8,1136,2326,3462,45.2,49,47.7,1377,2418,3795
8,'HIMACHAL PRADESH',171,359,530,88,210,298,5,1,6,93,211,304,54.4,58.8,57.4,78,148,226
9,'JAMMU & KASHMIR',130,1502,1632,40,944,984,1,1,2,41,945,986,31.5,62.9,60.4,89,557,646
10,JHARKHAND,780,909,1689,506,385,891,11,0,11,517,385,902,66.3,42.4,53.4,263,524,787
11,KARNATAKA,1335,3151,4486,749,1576,2325,5,0,5,754,1576,2330,56.5,50,51.9,581,1575,2156
12,KERALA,107,260,367,79,203,282,0,0,0,79,203,282,73.8,78.1,76.8,28,57,85
13,'MADHYA PRADESH',4815,11294,16109,2388,4707,7095,15,13,28,2403,4720,7123,49.9,41.8,44.2,2412,6574,8986
14,MAHARASHTRA,4649,8606,13255,2262,4327,6589,37,27,64,2299,4354,6653,49.5,50.6,50.2,2350,4252,6602
15,MANIPUR,570,591,1161,561,588,1149,1,1,2,562,589,1151,98.6,99.7,99.1,8,2,10
16,MEGHALAYA,126,64,190,73,48,121,4,1,5,77,49,126,61.1,76.6,66.3,49,15,64
17,MIZORAM,11,12,23,2,1,3,0,0,0,2,1,3,18.2,8.3,13,9,11,20
18,NAGALAND,57,87,144,30,41,71,0,0,0,30,41,71,52.6,47.1,49.3,27,46,73
19,ODISHA,895,4058,4953,596,2302,2898,0,0,0,596,2302,2898,66.6,56.7,58.5,299,1756,2055
20,PUNJAB,1083,2955,4038,302,957,1259,2,0,2,304,957,1261,28.1,32.4,31.2,779,1998,2777
21,RAJASTHAN,2326,7919,10245,1420,4826,6246,11,0,11,1431,4826,6257,61.5,60.9,61.1,895,3093,3988
22,SIKKIM,10,48,58,0,0,0,0,0,0,0,0,0,0,0,0,10,48,58
23,'TAMIL NADU',312,1730,2042,216,1437,1653,0,1,1,216,1438,1654,69.2,83.1,81,96,292,388
24,TELANGANA,615,1697,2312,397,834,1231,0,0,0,397,834,1231,64.6,49.1,53.2,218,863,1081
25,TRIPURA,38,170,208,27,149,176,1,0,1,28,149,177,73.7,87.6,85.1,10,21,31
26,'UTTAR PRADESH',3820,16509,20329,2613,12707,15320,15,13,28,2628,12720,15348,68.8,77,75.5,1192,3789,4981
27,UTTARAKHAND,729,784,1513,46,77,123,1,1,2,47,78,125,6.4,9.9,8.3,682,706,1388
28,'WEST BENGAL',1847,6473,8320,490,2066,2556,28,76,104,518,2142,2660,28,33.1,32,1329,4331,5660
30,'ANDAMAN & NICOBAR ISLANDS',7,27,34,5,21,26,0,1,1,5,22,27,71.4,81.5,79.4,2,5,7
31,CHANDIGARH,138,222,360,68,132,200,0,0,0,68,132,200,49.3,59.5,55.6,70,90,160
32,'DADRA & NAGAR HAVELI',5,11,16,4,4,8,0,0,0,4,4,8,80,36.4,50,1,7,8
33,'DAMAN & DIU',38,20,58,18,8,26,0,0,0,18,8,26,47.4,40,44.8,20,12,32
34,'NCT OF DELHI',6404,8749,15153,2590,3286,5876,16,1,17,2606,3287,5893,40.7,37.6,38.9,3798,5462,9260
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,0,0,0
36,PUDUCHERRY,6,13,19,2,6,8,0,0,0,2,6,8,33.3,46.2,42.1,4,7,11
